ticker,company,sector,industry,country,business_model,investment_thesis,moat_score,valuation_type,growth_driver,risk_factor,investment_stage,investor_rating,last_update
MSFT,Microsoft,Technology,Software,USA,Enterprise software and cloud platform,Cloud AI ecosystem and enterprise software growth driven by Azure Office and AI integration,5,Growth,Azure AI Copilot cloud services enterprise AI adoption,AI competition cloud competition regulation,MATURE,90,2026-08-10
NVDA,NVIDIA,Technology,Semiconductors,USA,GPU and AI computing platform,AI infrastructure growth driven by GPUs CUDA ecosystem and data center demand,5,Growth,AI servers Blackwell architecture CUDA ecosystem,High valuation semiconductor competition supply chain risk,GROWTH,90,2026-08-10
RKLB,Rocket Lab,Industrials,Commercial Space,USA,Space launch and satellite platform services,Commercial space industry growth driven by launch services satellite systems and space infrastructure expansion,2,Growth,Electron Neutron rocket satellite platforms defense space demand,Execution risk capital requirements competition from SpaceX,EARLY_GROWTH,75,2026-08-10
TSLA,Tesla Inc.,Automotive,Electric Vehicles and Autonomous Driving,United States,Electric vehicle energy storage and autonomous driving technology company,Long term growth opportunity from EV adoption autonomous driving robotics and energy business expansion,4,Growth,Autonomous driving; Robotaxi; Energy storage; EV ecosystem,Competition; Valuation volatility; Execution risk,GROWTH,88,2026-08-11
ASML,ASML Holding N.V.,Semiconductor Equipment,Lithography Systems,Netherlands,Critical semiconductor equipment provider specializing in advanced lithography systems,Unique EUV technology creates strategic importance in advanced semiconductor manufacturing and AI chip supply chain,5,Value,Advanced semiconductor manufacturing; AI semiconductor demand; Technology leadership,Export restrictions; Semiconductor cycle; Customer concentration,MATURE,95,2026-08-11
AMD,Advanced Micro Devices Inc.,Semiconductor,CPU GPU and AI Accelerators,United States,Semiconductor company developing CPUs GPUs and AI acceleration products,Competitive semiconductor company benefiting from AI accelerator growth and data center demand,4,Growth,AI accelerator market; Data center growth; Server CPU expansion,Competition with NVIDIA and Intel; Product execution risk,GROWTH,82,2026-08-11
TSM,Taiwan Semiconductor Manufacturing Co.,Semiconductor,Foundry Manufacturing,Taiwan,World leading semiconductor foundry manufacturing advanced chips for global technology companies,Essential semiconductor infrastructure company benefiting from AI chip demand and advanced manufacturing leadership,5,Value,AI chip production; Advanced nodes; Semiconductor ecosystem,Geopolitical risk; Semiconductor cycle; Customer concentration,MATURE,93,2026-08-11
GOOGL,Alphabet Inc.,Technology,Internet Software and AI Platform,United States,Global technology platform operating search cloud advertising and AI services,Large scale AI platform company with strong data assets cloud infrastructure and ecosystem advantages,5,Growth,Gemini AI; Google Cloud; AI services expansion,AI competition; Regulatory pressure; Search disruption,MATURE,92,2026-08-11
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,Semiconductor and infrastructure software company providing connectivity networking custom silicon and enterprise software,Long-term beneficiary of AI infrastructure growth through networking custom accelerators and diversified infrastructure software assets,5,Growth,AI networking demand; Custom accelerator growth; Data center expansion; Infrastructure software cash flow,Semiconductor cycle; Customer concentration; Integration execution risk; Valuation risk,GROWTH,92,2026-08-11
AMZN,Amazon.com Inc.,Technology,Cloud and E-Commerce,United States,Cloud computing e-commerce logistics advertising and digital services platform,AWS cloud leadership advertising growth and AI infrastructure investment provide multiple long-term growth engines supported by scale and logistics advantages,5,Growth,AWS cloud growth; AI infrastructure demand; Advertising growth; Logistics efficiency,Large capital spending; Cloud competition; Regulatory risk; Retail margin pressure,GROWTH,93,2026-08-11
META,Meta Platforms Inc.,Technology,Internet Platforms and Advertising,United States,Global social media advertising and digital platform company operating large-scale consumer networks and AI infrastructure,Massive user networks advertising data and AI investment create strong long-term platform economics and monetization opportunities,5,Growth,AI-driven advertising efficiency; User engagement; Messaging monetization; AI platform development,Regulatory pressure; Large AI capital expenditure; Advertising cyclicality; Platform competition,GROWTH,91,2026-08-11
AAPL,Apple Inc.,Technology,Consumer Electronics and Services,United States,Consumer technology ecosystem combining devices operating systems services and digital distribution,Powerful brand installed base ecosystem integration and high switching costs support durable cash generation and long-term services growth,5,Value,Services growth; Installed base monetization; Device ecosystem expansion; AI-enabled products,Hardware maturity; China exposure; Regulatory pressure; Premium valuation,MATURE,92,2026-08-11
CRWD,CrowdStrike Holdings Inc.,Technology,Cybersecurity Software,United States,Cloud-native cybersecurity platform providing endpoint identity cloud workload and threat intelligence services,Platform consolidation recurring subscriptions and expanding cybersecurity demand support long-term growth with strong customer retention,4,Growth,Cybersecurity spending; Platform consolidation; Cloud security growth; AI-assisted threat detection,High valuation; Cybersecurity competition; Execution risk; Operational incident risk,GROWTH,87,2026-08-11
SHOP,Shopify Inc.,Technology,E-Commerce Software,Canada,Commerce software platform providing merchants with online storefront payments fulfillment and business services,Merchant ecosystem payments adoption and international commerce expansion provide long-term growth opportunities with platform economics,4,Growth,Merchant growth; Payments penetration; Enterprise adoption; International expansion,Competitive pressure; Consumer spending sensitivity; Valuation risk; Execution complexity,GROWTH,84,2026-08-11
